province;red;green;blue;name;x;color_hexa
188;26;152;192;Metz;x;#1A98C0
189;155;154;255;Lothringen;x;#9B9AFF
190;27;156;0;Bourbon;x;#1B9C00
191;155;158;64;Nevers;x;#9B9E40
192;27;32;128;Bourgogne;x;#1B2080
193;155;34;192;Franche-Comté;x;#9B22C0
194;27;36;255;Périgord;x;#1B24FF
195;155;38;0;Limousin;x;#9B2600
196;28;40;64;Toulouse;x;#1C2840
197;156;42;128;Roussillon;x;#9C2A80
198;28;44;192;Rouergue;x;#1C2CC0
199;156;46;255;Auvergne;x;#9C2EFF
200;28;248;0;Languedoc;x;#1CF800
201;156;50;64;Toulon;x;#9C3240
202;28;52;128;Avignon;x;#1C3480
203;157;54;192;Lyonnais;x;#9D36C0
204;29;56;255;Dauphiné;x;#1D38FF
205;157;58;0;Savoie;x;#9D3A00
206;29;60;64;Galicia;x;#1D3C40
207;157;62;128;Asturias;x;#9D3E80
208;29;64;192;León;x;#1D40C0
209;157;66;255;Vizcaya;x;#9D42FF
210;30;68;0;Navarra;x;#1E4400
211;158;70;64;Pirineo;x;#9E4640
212;30;72;128;Girona;x;#1E4880
213;158;74;192;Barcelona;x;#9E4AC0
214;30;76;255;Zaragoza;x;#1E4CFF
215;158;78;0;Castilla La Vieja;x;#9E4E00
216;30;80;64;Salamanca;x;#1E5040
217;159;82;128;Madrid;x;#9F5280
218;31;84;192;Badajoz;x;#1F54C0
219;159;86;255;Toledo;x;#9F56FF
220;31;88;0;València;x;#1F5800
221;159;90;64;Murcia;x;#9F5A40
222;31;92;128;Almería;x;#1F5C80
223;159;94;192;Granada;x;#9F5EC0
224;32;96;255;Andalucía;x;#2060FF
225;160;98;0;Córdoba;x;#A06200
226;32;100;64;Gibraltar;x;#206440
227;160;102;128;Lisboa;x;#A06680
228;32;104;192;Beira;x;#2068C0
229;160;106;255;Beja;x;#A06AFF
230;32;108;0;Algarve;x;#206C00
231;161;110;64;Porto;x;#A16E40
232;33;112;128;Bragança;x;#217080
233;166;203;93;Cornwall;x;#A6CB5D
234;33;116;255;Wessex;x;#2174FF
235;161;118;0;Kent;x;#A17600
236;33;120;64;London;x;#217840
237;161;122;128;Oxfordshire;x;#A17A80
238;34;124;192;Essex;x;#227CC0
239;162;126;255;Gloucestershire;x;#A27EFF
240;34;128;0;Shrewsbury;x;#228000
241;162;130;64;Glamorgan;x;#A28240
242;34;132;128;Gwynedd;x;#228480
243;162;134;192;Lincoln;x;#A286C0
244;34;136;255;Lancashire;x;#2288FF
245;163;138;0;Yorkshire;x;#A38A00
246;35;140;64;Northumberland;x;#238C40
247;163;142;128;Cumbria;x;#A38E80
248;35;144;192;Lothian;x;#2390C0
249;163;146;255;Ayrshire;x;#A392FF
250;35;148;0;Perth;x;#239400
251;163;150;64;Aberdeen;x;#A39640
252;36;152;128;Inverness;x;#249880
253;164;154;192;Outer Hebrides;x;#A49AC0
254;36;156;255;Poznan;x;#249CFF
255;164;158;0;Kalisz;x;#A49E00
256;36;32;64;Plock;x;#242040
257;164;34;128;Mazovia;x;#A42280
258;36;36;192;Lodz;x;#2424C0
259;165;38;255;Sandomir;x;#A526FF
260;37;40;0;Galicien;x;#252800
261;165;42;64;Halicz;x;#A52A40
262;37;44;128;Krakow;x;#252C80
263;165;46;192;Ratibor;x;#A52EC0
264;37;48;255;Breslau;x;#2530FF
265;165;50;0;Moravia;x;#A53200
266;38;52;64;Bohemia;x;#263440
267;166;54;128;Plsen;x;#A63680
268;38;56;192;Bessarabia;x;#2638C0
269;166;58;255;Podlasia;x;#A63AFF
270;38;60;0;Troki;x;#263C00
271;166;62;64;Samogitia;x;#A63E40
272;38;64;128;Lithuania;x;#264080
273;167;66;192;Letgallen;x;#A742C0
274;39;68;255;Pskov;x;#2744FF
275;167;70;0;Polotsk;x;#A74600
276;39;72;64;Minsk;x;#274840
277;167;74;128;Grodno;x;#A74A80
278;39;76;192;Polesia;x;#274CC0
279;167;78;255;Volhynia;x;#A74EFF
280;40;80;0;Kiev;x;#285000
281;168;82;64;Podolia;x;#A85240
282;40;84;128;Yedisan;x;#285480
283;168;86;192;Zaporozhia;x;#A856C0
284;40;88;255;Crimea;x;#2858FF
285;168;90;0;Kaffa;x;#A85A00
286;40;92;64;Azow;x;#285C40
287;169;94;128;Kouban;x;#A95E80
288;41;96;192;Cherkassk;x;#2960C0
289;169;98;255;Chernigov;x;#A962FF
290;41;100;0;Poltava;x;#296400
291;169;102;64;Kharkov;x;#A96640
292;41;104;128;Mogilyov;x;#296880
293;169;106;192;Smolensk;x;#A96AC0
294;42;108;255;Tver;x;#2A6CFF
295;170;110;0;Moskva;x;#AA6E00
296;42;112;64;Kaluga;x;#2A7040
297;74;227;77;Bryansk;x;#4AE34D
298;42;116;192;Kursk;x;#2A74C0
299;170;118;255;Voronezh;x;#AA76FF
300;42;120;0;Tula;x;#2A7800
301;171;122;64;Ryazan;x;#AB7A40
302;43;124;128;Tambow;x;#2B7C80
303;171;126;192;Saratow;x;#AB7EC0
304;43;128;255;Pensa;x;#2B80FF
305;171;130;0;Perm;x;#AB8200
306;43;132;64;Nijni-Novgorod;x;#2B8440
307;171;134;128;Vladimir;x;#AB8680
308;44;136;192;Yaroslavl;x;#2C88C0
309;172;138;255;Olonets;x;#AC8AFF
310;44;140;0;Novgorod;x;#2C8C00
311;172;142;64;Kholm;x;#AC8E40
312;44;144;128;Vologda;x;#2C9080
313;72;0;240;Archangelsk;x;#4800F0
314;44;148;255;Ustyug;x;#2C94FF
315;173;150;0;Finnmark;x;#AD9600
316;45;152;64;Kocaeli;x;#2D9840
317;173;154;128;Hüdavendigar;x;#AD9A80
318;45;156;192;Sugla;x;#2D9CC0
319;173;158;255;Mentese;x;#AD9EFF
320;45;32;0;Rhodes;x;#2D2000
321;173;34;64;Cyprus;x;#AD2240
322;46;36;128;Kütahya;x;#2E2480
323;174;38;192;Konya;x;#AE26C0
324;46;40;255;Karaman;x;#2E28FF
325;174;42;0;Kastamonu;x;#AE2A00
326;46;44;64;Ankara;x;#2E2C40
327;174;46;128;Adana;x;#AE2E80
328;46;48;192;Sinop;x;#2E30C0
329;175;50;255;Sivas;x;#AF32FF
330;47;52;0;Trebizond;x;#2F3400
331;175;54;64;Erzurum;x;#AF3640
332;47;56;128;Marash;x;#2F3880
333;175;58;192;The Baleares;x;#AF3AC0
334;47;60;255;Tangiers;x;#2F3CFF
335;175;62;0;Mellila;x;#AF3E00
336;48;244;64;Tlemcen;x;#30F440
337;176;66;128;Oran;x;#B04280
338;48;68;192;Al-Djazair;x;#3044C0
339;176;70;255;Kabylia;x;#B046FF
340;48;72;0;Constantine;x;#304800
341;176;74;64;Tunis;x;#B04A40
342;48;76;128;Toubkhal;x;#304C80
343;177;78;192;Fez;x;#B14EC0
344;49;80;255;Marrakech;x;#3150FF
345;177;82;0;Safi;x;#B15200
346;49;84;64;Figuig;x;#315440
347;177;86;128;Ifni;x;#B15680
348;49;88;192;Sus;x;#3158C0
349;177;90;255;Atlas;x;#B15AFF
350;50;92;0;Aures;x;#325C00
351;178;94;64;Biskra;x;#B25E40
352;50;96;128;Gafsa;x;#326080
353;178;98;192;Tataouine;x;#B262C0
354;50;100;255;Tripolitania;x;#3264FF
355;178;102;0;Sirt;x;#B26600
356;50;104;64;Cyrenaica;x;#326840
357;179;106;128;Darnah;x;#B36A80
358;51;108;192;Alexandria;x;#336CC0
359;179;110;255;Fayyum;x;#B36EFF
360;51;112;0;Qus;x;#337000
361;179;114;64;Cairo;x;#B37240
362;51;116;128;Rosetta;x;#337480
363;179;118;192;Damietta;x;#B376C0
364;52;120;255;Gaza;x;#3478FF
365;180;122;0;Sinai;x;#B47A00
366;52;124;64;The Canarias;x;#347C40
367;180;126;128;The Azores;x;#B47E80
368;52;128;192;Madeira;x;#3480C0
369;180;130;255;Orkney;x;#B482FF
370;52;132;0;Reykjavik;x;#348400
371;181;134;64;Akureyri;x;#B58640
372;53;136;128;Tyrone;x;#358880
373;181;138;192;Meath;x;#B58AC0
374;53;140;255;Leinster;x;#358CFF
375;181;142;0;Munster;x;#B58E00
376;53;144;64;Connaught;x;#359040
377;181;146;128;Aleppo;x;#B59280
378;54;148;192;Tripoli;x;#3694C0
379;182;150;255;Jerusalem;x;#B696FF
380;54;152;0;Al Karak;x;#369800
381;182;154;64;Ajlun;x;#B69A40
382;54;156;128;Damascus;x;#369C80
383;182;158;192;Tabuk;x;#B69EC0
384;54;32;255;Medina;x;#3620FF
385;183;34;0;Mecca;x;#B72200
386;55;36;64;Bishah;x;#372440
387;183;38;128;Mokha;x;#B72680
388;55;40;192;Aden;x;#3728C0
389;183;42;255;Mukalla;x;#B72AFF
390;55;44;0;Sana'a;x;#372C00
391;183;46;64;Najran;x;#B72E40
392;56;48;128;Al-Arid;x;#383080
393;184;50;192;Jabal Shammar;x;#B832C0
394;56;52;255;El Catif;x;#3834FF
395;184;54;0;Qatar;x;#B83600
396;56;56;64;Bahrain;x;#383840
397;184;58;128;Bani Yas;x;#B83A80
398;56;60;192;Qawasim;x;#383CC0
399;185;62;255;Suhar;x;#B93EFF
400;57;64;0;Muscat;x;#394000
401;185;66;64;Dhofar;x;#B94240
402;57;68;128;Mahra;x;#394480
403;185;70;192;Nizwa;x;#B946C0
404;57;72;255;Liwa;x;#3948FF
405;185;74;0;Tadmor;x;#B94A00
406;58;76;64;Haditha;x;#3A4C40
407;186;78;128;Ar Raqqa;x;#BA4E80
408;58;80;192;Basra;x;#3A50C0
409;186;82;255;Karballa;x;#BA52FF
410;58;84;0;Baghdad;x;#3A5400
411;186;86;64;Mosul;x;#BA5640
412;58;88;128;Ahvaz;x;#3A5880
413;187;90;192;Lorestan;x;#BB5AC0
414;59;92;255;Hamadan;x;#3B5CFF
415;187;94;0;Kirkuk;x;#BB5E00
416;59;96;64;Azerbaijan;x;#3B6040
417;187;98;128;Gilan;x;#BB6280
418;59;100;192;Diyarbakir;x;#3B64C0
419;187;102;255;Yerevan;x;#BB66FF
420;60;140;0;Ganja;x;#3C8C00
421;188;106;64;Shirvan;x;#BC6A40
422;60;108;128;Imereti;x;#3C6C80
423;188;110;192;Kartli;x;#BC6EC0
424;60;112;255;Ardabil;x;#3C70FF
425;188;114;0;Dagestan;x;#BC7200
426;60;116;64;Amol;x;#3C7440
427;189;118;128;Shahrud;x;#BD7680
428;61;120;192;Rey;x;#3D78C0
429;189;122;255;Isfahan;x;#BD7AFF
430;61;124;0;Bushehr;x;#3D7C00
431;189;126;64;Hormuz;x;#BD7E40
432;61;128;128;Kerman;x;#3D8080
433;189;130;192;Dash-i-Lut;x;#BD82C0
434;62;132;255;Quhistan;x;#3E84FF
435;190;134;0;Sistan;x;#BE8600
436;62;136;64;Birjand;x;#3E8840
437;190;138;128;Atak;x;#BE8A80
438;62;140;192;Kara Kum;x;#3E8CC0
439;190;142;255;Mangyshlak;x;#BE8EFF
440;62;144;0;Qaraqalpak;x;#3E9000
441;191;146;64;Khiva;x;#BF9240
442;63;148;128;Bukhara;x;#3F9480
443;191;150;192;Ust Yurt;x;#BF96C0
444;63;152;255;Charjuy;x;#3F98FF
445;191;154;0;Marv;x;#BF9A00
446;63;156;64;Herat;x;#3F9C40
447;191;158;128;Kandahar;x;#BF9E80
448;64;32;192;Gazni;x;#4020C0
449;192;34;255;Ghor;x;#C022FF
450;64;36;0;Balkh;x;#402400
451;192;38;64;Kabul;x;#C02640
452;64;40;128;Badakhshan;x;#402880
453;192;42;192;Qarshi;x;#C02AC0
454;64;44;255;Samarkand;x;#402CFF
455;193;46;0;Kyrzyl-Kum;x;#C12E00
456;65;48;64;Turkestan;x;#413040
457;193;50;128;Tashkent;x;#C13280
458;65;52;192;Kokand;x;#4134C0
459;193;54;255;Taraz;x;#C136FF
460;65;56;0;Uzkend;x;#413800
461;193;58;64;Zhetysu;x;#C13A40
462;66;60;128;Mingrelia;x;#423C80
463;194;62;192;Circassia;x;#C23EC0
464;66;64;255;Astrakhan;x;#4240FF
465;194;66;0;Nogay;x;#C24200
466;66;68;64;Sarai;x;#424440
467;194;70;128;Borisoglebsk;x;#C24680
468;66;72;192;Khazaria;x;#4248C0
469;195;74;255;Ryn;x;#C34AFF
470;67;76;0;Bayuly;x;#434C00
471;195;78;64;Alimuly;x;#C34E40
472;67;80;128;Zhetyru;x;#435080
473;195;82;192;Samara;x;#C352C0
474;67;84;255;Yaik;x;#4354FF
475;195;86;0;Bashkortostan;x;#C35600
476;68;88;64;Kypshak;x;#445840
477;196;90;128;Nadym;x;#C45A80
478;68;92;192;Argyn;x;#445CC0
479;196;94;255;Kerey;x;#C45EFF
480;68;96;0;Kulunda;x;#446000
481;196;98;64;Bermuda;x;#C46240
482;68;100;128;Bahamas;x;#446480
483;197;102;192;Turks Islands;x;#C566C0
484;69;104;255;Havana;x;#4568FF
485;197;106;0;Moron;x;#C56A00
486;69;108;64;Guantamano;x;#456C40
487;197;110;128;Jamaica;x;#C56E80
488;69;112;192;Les Cayes;x;#4570C0
489;197;114;255;Tortuga;x;#C572FF
490;70;116;0;Barahonas;x;#467400
491;198;118;64;Curacao;x;#C67640
492;70;120;128;Puerto Rico;x;#467880
493;198;122;192;St. Thomas;x;#C67AC0
494;70;124;255;St. Martin;x;#467CFF
495;198;126;0;St. Kitts;x;#C67E00
496;70;128;64;Antigua;x;#468040
497;199;130;128;Guadelopue;x;#C78280
498;71;132;192;Dominica;x;#4784C0
499;199;134;255;Martinique;x;#C786FF
500;71;136;0;St. Lucia;x;#478800
501;199;138;64;Barbados;x;#C78A40
502;71;140;128;Trinidad;x;#478C80
503;199;142;192;Kutch;x;#C78EC0
504;72;144;255;Thatta;x;#4890FF
505;200;146;0;Sehwan;x;#C89200
506;72;148;64;Multan;x;#489440
507;200;150;128;Lahore;x;#C89680
508;72;152;192;Kashmir;x;#4898C0
509;200;154;255;Kangra;x;#C89AFF
510;72;156;0;Sirhind;x;#489C00
511;201;158;64;Garhwal;x;#C99E40
512;73;32;128;Jangladesh;x;#492080
513;201;34;192;Jaisalmer;x;#C922C0
514;73;36;255;Marwar;x;#4924FF
515;201;38;0;Girnar;x;#C92600
516;73;40;64;Baroda;x;#492840
517;201;42;128;Surat;x;#C92A80
518;74;44;192;Chittorgarh;x;#4A2CC0
519;202;46;255;Dundhar;x;#CA2EFF
520;74;48;0;Mewat;x;#4A3000
521;202;50;64;Rajkot;x;#CA3240
522;74;52;128;Delhi;x;#4A3480
523;202;54;192;Oudh;x;#CA36C0
524;74;56;255;Central Doab;x;#4A38FF
525;203;58;0;Gird;x;#CB3A00
526;75;60;64;Mandu;x;#4B3C40
527;203;62;128;Khandesh;x;#CB3E80
528;75;64;192;Hadoti;x;#4B40C0
529;203;66;255;North Konkan;x;#CB42FF
530;75;68;0;South Konkan;x;#4B4400
531;203;70;64;North Kanara;x;#CB4640
532;76;72;128;Raichur Doab;x;#4C4880
533;204;74;192;Mysore;x;#CC4AC0
534;76;76;255;Malabar;x;#4C4CFF
535;204;78;0;Kochin;x;#CC4E00
536;76;80;64;Madurai;x;#4C5040
537;204;82;128;Venad;x;#CC5280
538;76;84;192;Kongu;x;#4C54C0
539;205;86;255;Tondainadu;x;#CD56FF
540;77;88;0;Coromandel;x;#4D5800
541;205;90;64;Vijayanagar;x;#CD5A40
542;77;92;128;Golconda;x;#4D5C80
543;205;94;192;Velanadu;x;#CD5EC0
544;77;96;255;Ahmadnagar;x;#4D60FF
545;205;98;0;Marathwada;x;#CD6200
546;78;100;64;East Berar;x;#4E6440
547;206;102;128;Bastar;x;#CE6680
548;78;104;192;West Berar;x;#4E68C0
549;206;106;255;Kalingandhra;x;#CE6AFF
550;78;108;0;Mahakoshal;x;#4E6C00
551;206;110;64;Mandla;x;#CE6E40
552;78;112;128;Cuttack;x;#4E7080
553;207;114;192;Sambalpur;x;#CF72C0
554;79;116;255;Baisi Rayja;x;#4F74FF
555;207;118;0;Jaunpur;x;#CF7600
556;79;120;64;Lower Doab;x;#4F7840
557;207;122;128;Katmandu;x;#CF7A80
558;79;124;192;Patna;x;#4F7CC0
559;207;126;255;Bundelkhand;x;#CF7EFF
560;80;128;0;Jharkand;x;#508000
561;208;130;64;Bengal Delta;x;#D08240
562;80;132;128;Koch;x;#508480
563;208;134;192;Gauda;x;#D086C0
564;80;136;255;Dacca;x;#5088FF
565;208;138;0;Bhutan;x;#D08A00
566;80;140;64;Assam;x;#508C40
567;209;142;128;Sylhet;x;#D18E80
568;81;144;192;Chittagong;x;#5190C0
569;209;146;255;Bijapur;x;#D192FF
570;81;148;0;Naga;x;#519400
571;209;150;64;Darrang;x;#D19640
572;81;152;128;Kotte;x;#519880
573;209;154;192;Kachar;x;#D19AC0
574;82;156;255;The Andamans;x;#529CFF
575;210;158;0;Eastern Makran;x;#D29E00
576;82;32;64;Indus;x;#522040
577;210;34;128;Quetta;x;#D22280
578;82;36;192;Khyber;x;#5224C0
579;210;38;255;Arakan;x;#D226FF
580;82;40;0;Chin;x;#522800
581;211;42;64;Sagaing;x;#D32A40
582;83;44;128;Kachin;x;#532C80
583;211;46;192;Hsenwi;x;#D32EC0
584;83;48;255;Kyuakse;x;#5330FF
585;211;50;0;Toungoo;x;#D33200
586;83;52;64;Pegu;x;#533440
587;211;54;128;Keng Tung;x;#D33680
588;84;56;192;Mongnai;x;#5438C0
589;212;58;255;Chiang Mai;x;#D43AFF
590;84;60;0;Moulmein;x;#543C00
591;212;62;64;Tenasserim;x;#D43E40
592;84;64;128;Ratchaburi;x;#544080
593;212;66;192;Ligore;x;#D442C0
594;84;68;255;Pattani;x;#5444FF
595;213;70;0;Perak;x;#D54600
596;85;72;64;Malacca;x;#554840
597;213;74;128;Johor;x;#D54A80
598;85;76;192;Pahang;x;#554CC0
599;213;78;255;Kelantan;x;#D54EFF
600;85;80;0;Ayutthaya;x;#555000
601;213;82;64;Sukthothai;x;#D55240
602;86;84;128;Chian Rai;x;#565480
603;214;86;192;Rayong;x;#D656C0
604;86;88;255;Udong;x;#5658FF
605;214;90;0;Prei Nokoi;x;#D65A00
606;86;92;64;Panduranga;x;#565C40
607;214;94;128;Vijaya;x;#D65E80
608;86;96;192;Champassak;x;#5660C0
609;215;98;255;Siem Reap;x;#D762FF
610;87;100;0;Binh Tri Thien;x;#576400
611;215;102;64;Thakhek;x;#D76640
612;87;104;128;Khorat;x;#576880
613;215;106;192;Thang Long;x;#D76AC0
614;87;108;255;Vientiane;x;#576CFF
615;215;110;0;Luang Prabang;x;#D76E00
616;88;112;64;Viet Bac;x;#587040
617;216;114;128;Aceh;x;#D87280
618;88;116;192;Aru;x;#5874C0
619;216;118;255;Minangkabau;x;#D876FF
620;88;120;0;Siak;x;#587800
621;216;122;64;Benkulen;x;#D87A40
622;88;124;128;Palembang;x;#587C80
623;217;126;192;Lampung;x;#D97EC0
624;89;128;255;Banten;x;#5980FF
625;217;130;0;Priangan;x;#D98200
626;89;132;64;Mataram;x;#598440
627;217;134;128;Blambangan;x;#D98680
628;89;136;192;Surabaya;x;#5988C0
629;217;138;255;Demak;x;#D98AFF
630;90;140;0;Sunda;x;#5A8C00
631;218;142;64;Bali-Lombok;x;#DA8E40
632;90;144;128;Sumbawa;x;#5A9080
633;218;146;192;Flores;x;#DA92C0
634;90;148;255;Sumba;x;#5A94FF
635;218;150;0;Timor;x;#DA9600
636;90;152;64;Brunei;x;#5A9840
637;219;154;128;Sabah;x;#DB9A80
638;91;156;192;Kutei;x;#5B9CC0
639;219;158;255;Banjarmasin;x;#DB9EFF
640;91;32;0;Sukadane;x;#5B2000
641;219;34;64;Makassar;x;#DB2240
642;91;36;128;Bone;x;#5B2480
643;219;38;192;Pose;x;#DB26C0
644;92;40;255;Menade;x;#5C28FF
645;220;42;0;Buru;x;#DC2A00
646;92;44;64;Ambom;x;#5C2C40
647;220;46;128;Ceram;x;#DC2E80
648;92;48;192;Halmahera;x;#5C30C0
649;220;50;255;Ternate;x;#DC32FF
650;92;52;0;Tidore;x;#5C3400
651;221;54;64;Sulu;x;#DD3640
